Week,Total Cases,Total Deaths,Country_ID,Year,Disease_ID
4,3,0.0,88,2009,2
4,23,0.0,62,2009,2
4,114,0.0,16,2009,2
4,127,0.0,63,2009,2
4,960,0.0,18,2009,2
4,16,0.0,89,2009,2
4,16,0.0,28,2009,2
4,6,0.0,90,2009,2
4,23804,59.0,0,2009,2
4,6,0.0,91,2009,2
4,16941,17.0,38,2009,2
4,3253,0.0,1,2009,2
4,274,7.0,32,2009,2
4,709,4.0,39,2009,2
4,4,0.0,92,2009,2
4,79,0.0,40,2009,2
4,19,0.0,64,2009,2
4,28,0.0,41,2009,2
4,120,0.0,42,2009,2
4,4,0.0,65,2009,2
4,402,6.0,43,2009,2
4,421,0.0,44,2009,2
4,151,0.0,66,2009,2
4,640,0.0,45,2009,2
4,23,0.0,67,2009,2
4,4,0.0,93,2009,2
4,5,0.0,94,2009,2
4,78,0.0,33,2009,2
4,650,0.0,2,2009,2
4,1147,0.0,3,2009,2
4,212128,912.0,46,2009,2
4,210,0.0,47,2009,2
4,850,5.0,48,2009,2
4,452,1.0,49,2009,2
4,29,0.0,68,2009,2
4,16,0.0,50,2009,2
4,202,0.0,20,2009,2
4,2,0.0,21,2009,2
4,1,0.0,95,2009,2
4,91,0.0,4,2009,2
4,1290,0.0,51,2009,2
4,374,0.0,5,2009,2
4,71,0.0,69,2009,2
4,3482,0.0,22,2009,2
4,45,0.0,78,2009,2
4,100,0.0,23,2009,2
4,9,0.0,96,2009,2
4,2,0.0,97,2009,2
4,74,0.0,70,2009,2
4,11,0.0,71,2009,2
4,182,0.0,19,2009,2
4,31374,457.0,52,2009,2
4,2,0.0,98,2009,2
4,34,0.0,79,2009,2
4,420,0.0,53,2009,2
4,1313,0.0,29,2009,2
4,818,0.0,72,2009,2
4,78,0.0,54,2009,2
4,12,0.0,99,2009,2
4,1290,0.0,55,2009,2
4,4,0.0,100,2009,2
4,212,0.0,73,2009,2
4,795,0.0,56,2009,2
4,1545,2.0,25,2009,2
4,46,0.0,30,2009,2
4,24,0.0,57,2009,2
