Week,Cases,Deaths,Country_ID,Year,Disease_ID
6,259,0,51,2020,3
6,38551,1645,5,2020,3
6,0,0,69,2020,3
6,3152,52,22,2020,3
6,7,0,78,2020,3
6,0,0,160,2020,3
6,0,0,110,2020,3
6,0,0,161,2020,3
6,473,0,23,2020,3
6,0,0,162,2020,3
6,0,0,96,2020,3
6,14,0,97,2020,3
6,163,0,70,2020,3
6,0,0,163,2020,3
6,0,0,111,2020,3
6,6,0,164,2020,3
6,8,0,112,2020,3
6,14,0,71,2020,3
6,0,0,165,2020,3
6,0,0,166,2020,3
6,0,0,167,2020,3
6,557,0,19,2020,3
6,8,0,168,2020,3
6,0,0,169,2020,3
6,9,0,113,2020,3
6,0,0,170,2020,3
6,0,0,114,2020,3
6,46,0,52,2020,3
6,2,0,171,2020,3
6,8,0,115,2020,3
6,0,0,24,2020,3
6,0,0,98,2020,3
6,13,0,79,2020,3
6,0,0,172,2020,3
6,0,0,173,2020,3
6,8,0,117,2020,3
6,1064,8,53,2020,3
6,27,0,29,2020,3
6,0,0,72,2020,3
6,0,0,174,2020,3
6,9,0,175,2020,3
6,16,0,118,2020,3
6,836,0,54,2020,3
6,113,0,99,2020,3
6,43,0,176,2020,3
6,0,0,55,2020,3
6,0,0,100,2020,3
6,2,0,73,2020,3
6,15,0,56,2020,3
6,53,8,25,2020,3
6,39,0,30,2020,3
6,110,0,57,2020,3
6,75,0,80,2020,3
