Series Name,Series Code,Country Name,Country Code,2003 [YR2003],2009 [YR2009],2018 [YR2018]
Population density (people per sq. km of land area),EN.POP.DNST,Lao PDR,LAO,24.1622183708839,26.6404809358752,30.5957842287695
Population density (people per sq. km of land area),EN.POP.DNST,Latvia,LVA,36.7862075386837,34.4430524284336,30.9833065294307
Population density (people per sq. km of land area),EN.POP.DNST,Lebanon,LBN,428.971163245357,470.481524926686,669.494134897361
Population density (people per sq. km of land area),EN.POP.DNST,Lesotho,LSO,66.4805006587615,65.5510869565217,69.437812911726
Population density (people per sq. km of land area),EN.POP.DNST,Liberia,LBR,31.946200166113,38.9756333056478,50.0309073920266
Population density (people per sq. km of land area),EN.POP.DNST,Libya,LBY,3.19432749468611,3.48612932925651,3.79563238119054
Population density (people per sq. km of land area),EN.POP.DNST,Liechtenstein,LIE,213.59375,223.29375,236.9375
Population density (people per sq. km of land area),EN.POP.DNST,Lithuania,LTU,54.4864869176771,50.4653530115676,44.5313513780643
Population density (people per sq. km of land area),EN.POP.DNST,Luxembourg,LUX,185.855967078189,204.848971193416,250.093827160494
Population density (people per sq. km of land area),EN.POP.DNST,"Macao SAR, China",MAC,17043.1478471553,17844.0675081791,20777.5002607232
Population density (people per sq. km of land area),EN.POP.DNST,Madagascar,MDG,29.7127299927778,35.3700811638064,45.1398556204881
Population density (people per sq. km of land area),EN.POP.DNST,Malawi,MWI,127.282361052185,149.853150190921,192.440761561307
Population density (people per sq. km of land area),EN.POP.DNST,Malaysia,MYS,75.1752214274844,84.4164967280475,95.9628214883579
Population density (people per sq. km of land area),EN.POP.DNST,Maldives,MDV,1008.94333333333,1177.99333333333,1718.98666666667
Population density (people per sq. km of land area),EN.POP.DNST,Mali,MLI,9.82035174849818,11.9501298978028,15.635015858186
Population density (people per sq. km of land area),EN.POP.DNST,Malta,MLT,1245.56875,1288.990625,1511.03125
Population density (people per sq. km of land area),EN.POP.DNST,Marshall Islands,MHL,296.977777777778,312.5,324.516666666667
Population density (people per sq. km of land area),EN.POP.DNST,Mauritania,MRT,2.77204618220627,3.29233433588823,4.27216357815077
Population density (people per sq. km of land area),EN.POP.DNST,Mauritius,MUS,597.71921182266,614.497044334975,623.30197044335
Population density (people per sq. km of land area),EN.POP.DNST,Mexico,MEX,53.0265799017464,57.8532817202089,64.9146264050001
Population density (people per sq. km of land area),EN.POP.DNST,"Micronesia, Fed. Sts.",FSM,152.715714285714,147.107142857143,160.914285714286
Population density (people per sq. km of land area),EN.POP.DNST,Moldova,MDA,125.853415543247,124.120304939604,123.51980353224
Population density (people per sq. km of land area),EN.POP.DNST,Monaco,MCO,16576.5,17613,..
Population density (people per sq. km of land area),EN.POP.DNST,Mongolia,MNG,1.58909987383815,1.72107675274853,2.04060866654651
Population density (people per sq. km of land area),EN.POP.DNST,Montenegro,MNE,45.5217100371747,45.969814126394,46.2710037174721
Population density (people per sq. km of land area),EN.POP.DNST,Morocco,MAR,66.732879229218,71.5417589065651,80.7285189334528
Population density (people per sq. km of land area),EN.POP.DNST,Mozambique,MOZ,24.5823901930364,29.1140542740151,37.508535313716
Population density (people per sq. km of land area),EN.POP.DNST,Myanmar,MMR,73.6739939406922,76.9177514158886,82.2386154835549
Population density (people per sq. km of land area),EN.POP.DNST,Namibia,NAM,2.28244846894776,2.52771684339662,2.97374558175127
Population density (people per sq. km of land area),EN.POP.DNST,Nauru,NRU,499.7,496.95,635.2
Population density (people per sq. km of land area),EN.POP.DNST,Nepal,NPL,174.962483432159,187.537739797698,195.939107080572
Population density (people per sq. km of land area),EN.POP.DNST,Netherlands,NLD,480.607286729858,490.079691669137,511.457910359157
Population density (people per sq. km of land area),EN.POP.DNST,New Caledonia,NCL,12.3247264770241,13.4545951859956,15.5393873085339
Population density (people per sq. km of land area),EN.POP.DNST,New Zealand,NZL,15.2945197675743,16.340435228438,18.5541756864532
Population density (people per sq. km of land area),EN.POP.DNST,Nicaragua,NIC,43.9763835798571,47.7441083596477,53.7270483629716
Population density (people per sq. km of land area),EN.POP.DNST,Niger,NER,9.98498776347991,12.5074074366464,17.7176505881424
Population density (people per sq. km of land area),EN.POP.DNST,Nigeria,NGA,144.823205639184,169.444462377988,215.064988965381
Population density (people per sq. km of land area),EN.POP.DNST,North Macedonia,MKD,80.7481714510421,82.0396114195083,82.5915146708961
Population density (people per sq. km of land area),EN.POP.DNST,Northern Mariana Islands,MNP,125.971739130435,117.810869565217,123.65652173913
Population density (people per sq. km of land area),EN.POP.DNST,Norway,NOR,12.4980976971087,13.2205490208493,14.5549195374975
